,nama produk,harga,stok_produk,specs,product image url1,product image url2,product image url3,product image url4,product image url5
0,"ASUS K413EQ-EB552TS 14"",i5-1135G7/MX350/8G/512G PCIe/IPS/IND BLACK/OPI",Rp12.077.100,tersisa 1 buah,"Spesifikasi 
•Platform Notebook 
•Tipe Prosesor Intel Core i5 
•Processor Onboard Intel Core i5-1135G7 Processor (8M Cache, up to 4.20 GHz) 
•Kapasitas Penyimpanan 512 GB SSD 
•Memori Standar 8GB DDR4 
•Tipe Grafis NVIDIA GeForce MX350 2GB 
•Ukuran Layar 14.1 Inch 
•Resolusi Layar 1920 x 1080 
•Tipe Layar Anti-Glare Display 
•Layar Sentuh Tidak 
•Networking Integrated 
•Wireless Network Type Integrated 
•Wireless Bluetooth Integrated 
•Antarmuka / Interface 
‣1x HDMI 1.4 
‣1x 3.5mm Combo Audio Jack 
‣1x Headphone out 
‣1x USB 2.0 Type-A 
‣1x USB 3.2 Gen 1 Type-C 
‣2x USB 2.0 Type-A 
•Micro SD card reader 
•Keyboard Backlit Chiclet Keyboard 
•Audio Integrated 
•Kamera 720p HD camera//Without privacy shutter 
•Sistem Operasi Microsoft Windows 10 Home 
•Software Lainnya Microsoft Office Home Student 2019 
•Baterai 3 Cell 
•Daya Tahan Baterai 42WHrs 
•Daya / Power 65W AC Adapter 
•Dimensi (PTL) 32.40 x 21.50 x 1.79 ~ 1.79 cm 
•Berat Produk 1.35 KG (Without Battery), 1.40 KG (with battery) 
•Lain-lain Fingerprint
•Material: Body Material : Polycarbonate + Metal, Layar : IPS",https://cf.shopee.co.id/file/adffdda76cec898546fb55079598cfe1_tn,https://cf.shopee.co.id/file/76a19929e3c092fb12d577bf6f04b183_tn,https://cf.shopee.co.id/file/8cf6acb697c0146d9ae7e5334b27c413_tn,,
1,"ASUS K413EQ-EB752IPS 14"",I7-1165G7/MX350/8G/512G PCIe/IPS FHD/BLACK/OPI",Rp13.859.100,tersisa 2 buah,"Spesifikasi : 
- Windows 10 Home Single Language 64 
- Intel® Core™ i7-1165G7 (1.8 GHz base frequency, up to 4.9 GHz base with Intel® Turbo Boost Technology, 8 MB cache, 4 cores) 
- RAM 8GB DDR4 2933MHz SDRAM 
- Display 14 inch(16:9) LED-backlit FHD IPS (1920x1080) 60Hz Anti-Glare IPS-level Panel with wide 178° viewing angles 
- Dedicated NVIDIA® GeForce® MX350 (2 GB GDDR5 dedicated) 
- Storage 512GB PCIe® Gen3 x2 SSD 
- Integrated Wi-Fi 6 (802.11 ax (2x2) 
- Free ASUS Bagpack",https://cf.shopee.co.id/file/c5577fc2e0905fccebcced0bde4029ce_tn,https://cf.shopee.co.id/file/98089c7fef7a1a199ae5571018f02616_tn,https://cf.shopee.co.id/file/261fabb7837b1e879ec69e6f4c6059b4_tn,,
2,"ASUS FX506LH-I765B8T-O 15.6"",i7-10870H/GTX1650_V4G/8G/512G/FHD IPS/GRAY/OPI",Rp15.725.100,tersisa 1 buah,"ASUS Gaming TUF FX506LH-i765B8T-O
Dengan spesifikasi sebagai berikut :
- Procc intel Core i7-10750H
- Memory 8GB DDR4 onboard
- SSD 512GB NVMe M2
- VGA Nvidia GeForce GTX1650 4GB
- NON DVD
- Wifi + BT 4.0 + HDMI
- Audio jack, USB Type-C, USB Type-A, USB 3.1, USB 2.0, Card Reader Micro SD
- MS office Home Student 2019 Ori
- Windows 10 Home 64bit Original
- RGB Keyboard
- Layar 15.6 inc FHD 144Hz
- Baterai tanam
- Kecepatan RAM: 2933MHZ
- Free Tas Backpack Asus ROG
- Garansi Resmi Asus 2 tahun
- Color : Black",https://cf.shopee.co.id/file/02debb88c90ec535c1faae84d1da2c93_tn,https://cf.shopee.co.id/file/afb70877e8f953303864af701a684d13_tn,https://cf.shopee.co.id/file/c85b609f5982ebab551ce3edc5fd29ac_tn,,
3,"ASUS K413EQ-EB551TS 14"", i5-1135G7/MX350/8G/512G PCIe/IPS FHD/TRANSPARENT SILVER/OPI",Rp11.879.100,tersisa 1 buah,"Asus Vivobook K413EQ - EB551TS | i5-1135G7 | MX350 2GB | SILVER 

Display : 14.0"" (16:9) LED-backlit FHD (1920x1080) Anti-Glare Panel with 45% NTSC with wide 178° viewing angles 
Processor : Intel® Core™ i5-1135G7 Processor (8M Cache, up to 4.20 GHz) 
Memory : 8GB DDR4 
Storage : 512GB SSD 
Graphics : NVIDIA® Geforce MX350 2GB 
Optical Drive : - 
Operating System : Windows 10 HOME +OHS 2019 
Camera : VGA Web Camera 
Audio : ASUS SonicMaster Technology 
Networking : 
Wi-Fi 
Integrated Wi-Fi 5 (802.11 ac) 
Integrated Wi-Fi 6 (802.11 ax (2x2)) 
Bluetooth 
Bluetooth® 5.0 
Slots/Interface : 
•1 x COMBO audio jack 
•1 x Type-A USB 3.1 (Gen 1) 
•1 x Type-C USB 3.0 (USB 3.1 Gen 1) 
•2 x USB 2.0 port(s) 
•1 x HDMI 
•1 x micro SD card 
Battery : 42WHrs, 3S1P, 3-cell Li-ion 
Power Adapter : 
•Output : 19 V DC, 3.42 A, 65 W 
•Input :100 -240 V AC, 50/60 Hz universal 
System Dimensions : 324.9 x 215 x 17.9 mm (WxDxH) 
Weight : 1.4 kg 
Warranty : 2 tahun garansi hardware global. *berbeda di setiap negara 
Bonus : BackPack",https://cf.shopee.co.id/file/51b7c00407474a733461f3824ab30a8b_tn,https://cf.shopee.co.id/file/9328d65028de2d18c1eac53fe58ee669_tn,https://cf.shopee.co.id/file/7ece683a9e914f5464b93137612c9b71_tn,,
4,"ASUS K413EQ-EB752TS 14"",i7-1165G7/MX350/8G/512G PCIe/IPS/IND BLACK/OPI",Rp13.859.100,tersisa 1 buah,"ASUS VivoBook K413EQ-EB752TS i7-1165G7/8GB/512GB SSD/2GB MX350 W10 OHS
ASUS VivoBook K413EQ-EB752TS 11Gen Core I7-1165G7/8GB/512GB SSD/2GB MX350 Win10 + OHS Original

- Operasi System : Windows 10 Home Original
- Include Office Home Student 2019 Original Permanen

- Procesor : 11th Gen Intel® Core™ i7-1165G7 Processor (8M Cache, up to 4.70 GHz)
- Memory : RAM 8GB DDR4
- Storage : SSD 512GB PCIe 3x2 M.2
- Grafis : Nvidia GeForce MX350 VRAM 2GB GDDR5
- Display : 14.0"" (16:9) LED-backlit FHD (1920x1080) Anti-Glare Panel with 45% NTSC with wide 178° viewing angles

Networking :
Wi-Fi
Integrated Wi-Fi 5 (802.11 ac)
Integrated Wi-Fi 6 (802.11 ax (2x2))
Bluetooth
Bluetooth® 5.0

Slots/Interface :
1 x COMBO audio jack
1 x Type-A USB 3.1 (Gen 1)
1 x Type-C USB 3.0 (USB 3.1 Gen 1)
2 x USB 2.0 port(s)
1 x HDMI
1 x micro SD card

- Keyboard Backlight
- Fingerprint
- Audio : Dual Speaker stereo Harman Kardon certified, ICEpower, SonicMaster Audio
- Kamera : webcam dengan resolusi HD 720p
- Baterai : 3 Cell 42WHr lithium-polymer Battery, fast charging 60% dalam 49 menit
- Dimensi 324.9 x 215 x 17.9 mm berat 1,4 kilogram

- Colour : Indie Black
- Free Bagpack
- Garansi resmi ASUS 2 tahun
=================================
INFO PRODUK :
- Sebelum Membeli Diwajibkan Bertanya Ketersediaan Barang
- Barang yang dijual dijamin 100% BARU dan Bergaransi Resmi
- Garansi ganti unit baru 3 hari setelah penerimaan barang ,apabila ada kerusakan yg diakibatkan cacat pabrik

Happy Shopping :)",https://cf.shopee.co.id/file/44d92ed3d240bde621d4185cf614c5b1_tn,https://cf.shopee.co.id/file/fe2714e1bc04ba858c8871d4c7028e9b_tn,https://cf.shopee.co.id/file/de52b7d7559dbd5932c10f3440953ef2_tn,,
5,UX363EA-EM701TS Intel EVO/I7-1165G7/Intel® Iris Xe 96EU/16G/1T PCIE/OLED FHD/PINE GREY/OPI/STYLUS 2.,Rp21.373.900,tersisa 3 buah,"ASUS UX363EA - EM701TS | 13.3"" FHD | i7-1165G7 | PINE GREY 

Display : 13.3"" FHD (1920 x 1080) 16:9 DCI-P3: 100% TOUCH Glossy display 400nits 
Processor : Intel® Core™ i7-1165G7 Processor 2.8 GHz (12M Cache, up to 4.7 GHz, 4 cores) 
Memory : 16GB LPDDR4X 
Storage : 1TB M.2 NVMe™ PCIe® 3.0 Performance SSD 
Graphics : Intel® IrisXe 96EU 
Optical Drive : - 
Operating System : Windows 10 HOME+OHS 2019 
Camera : VGA Web Camera 
Audio : ASUS SonicMaster Technology 
Networking : 802.11ax+Bluetooth 5.0 (Dual band) 2*2 
Slots/Interface : 
•2 x Thunderbolt™ 4 USB-C® (up to 40 Gbps) 
•1 x USB 3.2 Gen 1 Type-A (up to 5 Gbps) 
•1 x Standard HDMI 
Battery : 67WHrs, 4S1P, 4-cell Li-ion 
Power Adapter : 
•65W power adapter 
Plug Type: ø4 (mm) 
•(Output: 19V DC, 3.42W) 
•(Input: 100-240V AC, 50/60Hz universal) 
System Dimensions :30.50 x 21.10 x 1.19 ~ 1.39 cm 
Weight : 1.3 kg 
Warranty : 2 YEAR 
Bonus : Sleeve,Stylus",https://cf.shopee.co.id/file/99bdd65db59173d4c5dc41a4fa63fe6e_tn,https://cf.shopee.co.id/file/a551c45b7040fd2fffe2b5622238507e_tn,https://cf.shopee.co.id/file/3e9f380e8939ccf590cdf15140c6a6de_tn,https://cf.shopee.co.id/file/a4bb6e543cb3b5eb9d5c962278da03e7_tn,
6,ASUS FX506IV-R9R6B6T-O R9-4900H/8GB/512GB SSD/RTX2060 6GB/15.6 144HZ/WIN 10 HOM/OFFICE/2Y/BAG/GRAY,Rp21.941.800,tersisa 1 buah,"Asus FX506IV-R9R6B6T-O - Fortess Grey [Ryzen9 4900H-8GB-512GB-RTX2060-W10-OHS]

Spesifikasi :
Processor Onboard : AMD Ryzen™ 9 4900H Processor 3.3 GHz (8M Cache, up to 4.4 GHz)
Memori Standar : 8 GB DDR4 3200Mhz
Tipe Grafis : NVIDIA® GeForce® RTX 2060 with ROG Boost
Ukuran Layar : 15.6″ (16:9) LED-backlit FHD (1920×1080) 144Hz Anti-Glare IPS-level Panel with 45% NTSC, 63% SRGB
Hard Disk : 512GB M.2 NVMe™ PCIe® 3.0 SSD
Keyboard : S\Chiclet keyboard with isolated numpad key
Kamera : HD 720p CMOS module
Audio : DTS:X® Ultra
Wireless Network : IIntegrated Wi-Fi 5 (802.11 ac (2×2) + Bluetooth 5.0

Interfaces :
1 x COMBO audio jack
2 x Type-A USB 3.2 (Gen 1)
1 x Type-C USB 3.2 (Gen 2) with display supportDP1.4
1 x Type-A USB2.0
1 x RJ45 LAN jack for LAN insert
1 x HDMI, HDMI support 2.0b
1 x AC adapter plug

Sistem Operasi : Windows 10 Home + OHS 2019
Batteray : 48WHrs, 3S1P, 3-cell Li-ion
Dimension : 359.8 x 256 x 22.8",https://cf.shopee.co.id/file/de050ac155897646489f9ac921b0561e_tn,https://cf.shopee.co.id/file/aba9dee185d6daf155a8cb72130200d4_tn,https://cf.shopee.co.id/file/cf92cef7b7d42e3b8a068f3af104a460_tn,,
7,ASUS GA401IV-R9R6F8W R9-4900HS/2X 8GB/1TB SSD/RTX2060 6GB/14.0 SLIM WQHD 60HZ/WIN 10 HOM/2Y,Rp33.032.200,tersisa 2 buah,"Spesifikasi
Detail OS
Windows 10 Home
Display
14 Inch
Prosessor
AMD
Detail Prosessor
AMD Ryzen 9-4900HS (3.0 GHz; 8M Cache; up to 4.4 GHz)
Memory
16GB
Tipe Grafis
NVIDIA GeForce RTX2060 GDDR6 6GB
Resolusi Layar
-
Tipe Layar
14-inch Non-glare WQHD (2560 x 1440) IPS-level panel, 60Hz, 100% sRGB, Pantone® Validated
Touchscreen
Tidak
Audio
2 x 2.5W speakers with Smart AMP technology 2 x 0.7W tweeter, Array Microphones With Dolby Atmos technology
HDD
M.2 1TB SSD PCIe
Optical Drive Type
-
Networking
ada
Kecepatan Jaringan
-
Wireless
Ada
Wireless Protocol Type
ada
Bluetooth
Intel® Wi-Fi 6 with Gig+ performance (802.11ax) Bluetooth 5.0
Interface
1 x USB 3.2 Gen 2 Type-C with DisplayPort™ 1.4 and Power Delivery 1 x USB 3.2 Gen 2 Type-C 2 x USB 3.2 Gen 1 Type-A 1 x HDMI 2.0b 1 x 3.5mm headphone and microphone combo jack 1 x Kensington lock
Konsumsi Daya
180W power adaptor
Baterai
-
Dimensi Produk
32.4cm x 22.2cm x 1.79cm
Berat
1.6kg
Kelengkapan Paket
Notebook, Adapter Kabel, Buku Manual User, Kartu Garansi
Lain-lain
-
Brand
Asus",https://cf.shopee.co.id/file/296faacda6c9a76be9b07c0c3f27d2fd_tn,https://cf.shopee.co.id/file/4e4480cb5158d33462535d7920e8ab0e_tn,https://cf.shopee.co.id/file/e6a4ae3c0decd17c74c8001be260185c_tn,,
8,"ASUS UX425EA-BM552TS 14"",i5-1135G7/UMA/8G/512 PCIe/NPAD/LILAC MIST/OPI",Rp14.086.700,tersisa 1 buah,"Processor Onboard : Intel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores) 
Memori Standar : 8GB LPDDR4X on board 
Tipe Grafis : Intel® IrisXe 80EU 
Ukuran Layar : 14-inch, LCD, FHD (1920 x 1080) 16:9, IPS-level Panel, Anti-glare display, LED Backlit, 300nits, sRGB: 100%, Screen-to-body ratio: 88 ％ 
Hard Disk : 512GB M.2 NVMe™ PCIe® 3.0 SSD 
Keyboard : Backlit Chirclet Keyboard 
Camera : 3D IR HD camera with Windows Hello support 
Wireless Network : Intel WiFi 6 with Gig+ performance (802.11ax) + Bluetooth 5.0 

Audio : 
ASUS SonicMaster stereo audio system with surround-sound; smart amplifier for maximum audio performance 
Array microphone with Cortana and Alexa voice-recognition support 
Certified by Harman Kardon 

Interfaces : 
1x USB 3.2 Gen 1 Type-A 
2x Thunderbolt™ 4 supports display / power delivery 
1x HDMI 2.0b 
1x Micro SD card reader 

Sistem Operasi : Windows 10 Home + Microsoft Office Home & Student 2019 
Baterai : 67WHrs, 4S1P, 4-cell Li-ion 
Colour : Lilac Mist 
Berat : 1,1Kg 

Garansi Resmi ASUS 2 Tahun",https://cf.shopee.co.id/file/aec9a0b415e406ed537b860d15d510b7_tn,https://cf.shopee.co.id/file/2f7042e1032a795598392cec3a21b165_tn,https://cf.shopee.co.id/file/8baf0cf2289ed29c0d9e92e29113ba1c_tn,,
9,"ASUS UX325EA-EG552TS 13.3"",i5-1135G7/Intel IrisXe/8G/512G/NPD/Lilac/OPI",Rp13.661.100,tersisa 2 buah,"Asus UX325EA - EG552TS | 13.3"" | i5-1135G7 | LILAC MIST

Display : 13.3-inch, FHD (1920 x 1080) 16:9, IPS-level Panel, Anti-glare display, LED Backlit, 400nits
Processor : Intel® Core™ i5-1135G7 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)
Memory : 8GB LPDDR4X
Storage : 512GB SSD
Graphics : Integrated Intel Iris XE 80EU Graphics
Optical Drive : -
Operating System : Windows 10 HOME+OHS 2019
Camera : HD Camera
Audio : INTEGRATED
Networking : 
Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
Slots/Interface : 
•1x USB 3.2 Gen 1 Type-A
•2x Thunderbolt™ 4 supports display / power delivery
•1x HDMI 2.0b
•1X Micro SD card reader
Battery : 67WHrs,4-cell Li-ion
Power Adapter :65W AC Adapter
Output: 19V DC
Input: 100~240V AC 50/60Hz universal
System Dimensions : 30.42 x 20.3 x 1.39 ~ 1.39 cm
Weight : 1.11 kg
Warranty : 2 tahun garansi hardware global. *berbeda di setiap negara
Bonus : ASUS SLEEVE",https://cf.shopee.co.id/file/d2029b6ba78c29c2197b5407717e535f_tn,https://cf.shopee.co.id/file/bdf9dbf304856375aa65a88c1d940a32_tn,https://cf.shopee.co.id/file/ade62855d2d470d294795617a4ca109b_tn,,
10,ASUS A416EP-FHD5212 Core i5-1135G7 / NVDIA GeForce MX330 with 2GB VRAM / 256PCIE + 1TB /,Rp11.087.100,tersisa 1 buah,"Spesifikasi:
Color Slate Grey
Title VivoBook 14 A416 (Intel® Core™ i5-1135G7/8GB/1TB HDD+256GB SSD/Windows 10 Home /NVIDIA® GeForce® MX330) - Slate Grey

KSP
- Thin & Lightweight
- NanoEdge Display
- Up to Intel® Core™ 11th Gen CPU and Up to MX330 Discrete Graphics

Description
- Thin & Lightweight
- NanoEdge Display
- Up to Intel® Core™ 11th Gen CPU and Up to MX330 Discrete Graphics
- Processor: Intel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)
- Memory: 8GB DDR4 on board
- Storage: 1TB SATA 5400RPM 2.5"" HDD
256GB M.2 NVMe™ PCIe® 3.0 SSD
- Graphic: NVIDIA® GeForce® MX330
- Display: 14.0-inch LED Backlit FHD (1920 x 1080) 16:9 220nits anti-glare panel
- Operating System: Windows 10 Home 
- FingerPrint easy login

Processor Intel® Core™ i5-1135G7 Processor 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)
OS Windows 10 Home 
panel 14.0-inch LED Backlit FHD (1920 x 1080) 16:9 220nits anti-glare panel
graphic NVIDIA® GeForce® MX330
memory 8GB DDR4 on board
Storage 
1TB SATA 5400RPM 2.5"" HDD
256GB M.2 NVMe™ PCIe® 3.0 SSD
ports 
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in//1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 2.0 Type-A//Micro SD card reader
connectivity Wi-Fi 5(802.11ac)+Bluetooth 4.1 (Dual band) 1*1
Weight 1.55 kg
Dimension 32.54 x 21.60 x 1.99 ~ 1.99 cm
expansion slot 
1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 3.0x2
1x STD 2.5” SATA HDD
Software & Sercurity Office Home and Student 2019 included
McAfee
Accessories Backpack",https://cf.shopee.co.id/file/76b9baaac174d68c8b7b36d0e76d0749_tn,https://cf.shopee.co.id/file/76bfba386f6328bf40cecf143ee02f40_tn,https://cf.shopee.co.id/file/f4457a4c9885892be0b1870e822ea660_tn,,
11,ASUS S333JQ-EG551T Core i5-1035G1 / MX350 2GB/ 512G PCIe+32G / 8GB DDR4 / White / No ODD,Rp12.466.500,tersisa 1 buah,"Asus S333JQ - EG551T | i5-1035G1 | MX350 2GB | WHITE

Display : 13.3” LED-backlit Full HD (1920 x 1080) 16:9 Frameless four-sided NanoEdge display 300NITS
Processor : Intel® Core™ i5-1035G1 processor 1.0GHz quad-core with Turbo Boost (up to 3.6GHz) and 6MB cache
Memory : 8GB DDR4
Storage : 512GB M.2 NVMe™ PCIe® SSD + 32GB Intel® Optane™ Memory
Graphics : NVIDIA® GeForce® MX350 2GB
Optical Drive : -
Operating System : Windows 10 HOME+OHS 2019 
Camera : INTEGRATED Camera
Audio : INTEGRATED
Networking : 
Intel Wi-Fi 6(Gig+)(802.11ax)+Bluetooth 5.0 (Dual band) 2*2
Slots/Interface : 

1 x USB 3.2 Gen 1 Type-C™
1 x USB 3.2 Gen 1 Type-A
1 x USB 2.0
1 x HDMI
1 x Audio combo jack
1 x MicroSD card reader
1 x DC-in
Battery : 50WHrs, 3S1P, 3-cell Li-ion
Power Adapter :

Output: 19V DC, 3.42A, 
Input: 100~240V AC 50/60Hz universal
System Dimensions : 30.40 x 19.90 x 1.49 ~ 1.49 cm
Weight : 1.20 kg
Warranty : 2 tahun garansi hardware global. *berbeda di setiap negara",https://cf.shopee.co.id/file/fd37cf02afd9a7a0c706580863df521d_tn,https://cf.shopee.co.id/file/3138fa935e17f4b580ca0dd3c5a06ced_tn,https://cf.shopee.co.id/file/eff2e5d1750b2d7f6142f5367d3671a4_tn,,
